question_id,prompt,expected,actual,overall_score,text_match,number_similarity
1,How many individuals have received MDMA in phase 1 or phase 2 clinical trials without any unexpected drug-related serious adverse events?,"Over 1,100"," Over 1,200 individuals have received MDMA in phase 1 or phase 2 clinical trials without any unexpected drug-related serious adverse events.",0.9166666666666666,0.0,0.9166666666666666
2,How many administrations of psilocybin with psychological support produces antidepressant effects in patients with cancer and in those with treatment-resistant depression?,1 or 2, One or two administrations of psilocybin with psychological support produces antidepressant effects in patients with cancer and in those with treatment-resistant depression.,1.0,1.0,1.0
3,"In 'Effects of Psilocybin-Assisted Therapy on Major Depressive Disorder: A Randomized Clinical Trial', what was the age range of participants? Where did the study take place?",Johns Hopkins University School of Medicine. The age range of participants was 21-75 years., The study took place at the Johns Hopkins University School of Medicine. The participants were aged 21-75 years.,1.0,0.0,1.0
4,What is a substantial public health burden that can be treated with psychedelic-assisted psychotherapy?,Major Depressive Disorder (MDD), Chronic pain is a substantial public health burden that can be treated with psychedelic-assisted psychotherapy.,0.0,0.0,0.0
5,What did Zhornitsky and coauthors systematically review with regard to psychedelics?," ""The effects of psychedelics on markers associated with synaptic density.""", I don't know.,0.0,0.0,0.0
6,What year did therapy involving MDMA or psilocybin become available in Australia?," ""2023""", 2023,1.0,1.0,1.0
7,"In clinical study NCT03289949, how many medium-high doses of psilocybin were administered to healthy volunteers?"," ""35""", I don't know.,0.0,0.0,0.0
8,What have anthropologists described Amazonian societies as preparing for when they use psychedelics in rituals?," ""Violent intergroup conflict.""", Anthropologists have described Amazonian societies as using psychedelics in rituals to prepare for violent intergroup conflict.,1.0,1.0,0.0
9,"In contrast to the rapidly increasing number of clinical studies with ketamine, are studies with classic hallucinogens emerging quickly?"," ""No"""," No, studies with classic hallucinogens are not emerging as quickly as those with ketamine.",1.0,1.0,0.0
10,What has cognitive behavioural therapy been shown to normalize in depressed patients?," ""Prefrontal-limbic functioning.""", Cognitive behavioural therapy has been shown to normalize the neural response to emotional stimuli in depressed patients.,0.0,0.0,0.0
11,Ketamine's antidepressant mechanisms of action are more complex than what?," ""Blockade of NMDA receptors.""", The simple 5-HT2AR agonism model.,0.0,0.0,0.0
12,What are Guided Imagery and and Music (GIM) programs typically influenced by?," ""Christian mysticism and Western researchers."""," GIM programs are typically influenced by music therapy, depth psychology, and transpersonal psychology.",0.0,0.0,0.0
13,"On 5th May, 1953, how much mescaline did the novelist Aldous Huxley take?"," ""400 mg.""", 400 mg,1.0,1.0,1.0
14,What kind of therapy has conceptual and phenomenological overlaps with psilocybin-assisted therapy?," ""Acceptance and Commitment Therapy (ACT)"""," The text does not explicitly state what kind of therapy has conceptual and phenomenological overlaps with psilocybin-assisted therapy. However, it mentions that psychedelic therapy models for addiction treatment were heavily researched between 1950 and 1970, suggesting that there may be some overlap with addiction treatment therapies. Additionally, the text mentions that psilocybin-assisted therapy is being explored as a treatment for anorexia nervosa (AN), suggesting that there may be some overlap with therapies used to treat eating disorders. However, without more information, it is difficult to say for certain what kind of therapy has conceptual and phenomenological overlaps with ps",0.0,0.0,0.0
15,How are some psychedelic substances classified legally?," ""Schedule I."""," Some psychedelic substances are classified as Schedule I substances under the United States Controlled Substances Act, meaning they have a high potential for abuse and no accepted medical use.",1.0,1.0,0.0
16,What does the cortico-striato-thalamo-cortical (CSTC) model show?," ""The CSTC model shows how psychedelics disrupt the sensory filters in the brain", The CSTC model shows that the striatum is involved in the pathophysiology of obsessive-compulsive disorder (OCD).,0.0,0.0,0.0
17,"In controlled settings, what form is psilocybin typically administered?"," ""Psilocybin is typically administered in controlled settings in a pure"," In controlled settings, psilocybin is typically administered orally in the form of a capsule or tablet.",0.0,0.0,0.0
18,What three inferences have been drawn about atheism when it comes to clinical trials with psychedelics at Johns Hopkins?," ""(1) that the psychedelic experience tends to dissolve atheist convictions; (2) that atheist convictions", None.,0.0,0.0,0.0
19,What is Rick Strassman's book about DMT titled?," ""DMT: The Spirit Molecule."""," Strassman, R. (2001). DMT: The Spirit Molecule. Park Street Press.",1.0,1.0,0.0
20,When did the first English language report on LSD come out?," ""1950.""", I don't know.,0.0,0.0,0.0
21,In what state have researchers looked at the importance of community-based participatory approaches that are more inclusive and respectful of Indigenous and other minority communities?," ""New Mexico."""," The state is not specified in the provided text snippet. However, it is mentioned that NIH and other federal agencies have a role in preventing stigmatization of Indigenous populations as a consequence of research, and that grant development should include a built-in period of time for relationship-building activities that is realistic. This suggests that researchers may be looking at the importance of community-based participatory approaches in the context of federal agencies and research grants.",0.0,0.0,0.0
22,What has ibogaine been reported as a specific treatment for?," ""Opioid use disorder.""", Ibogaine has been reported as a specific treatment for opioid dependence.,0.0,0.0,0.0
23,How much money could be saved if 1000 patients were treated with MDMA-assisted psychotherapy as compared with the current standard of care?," ""$132.9 million."""," $100 million



I don't know.",0.07524454477050413,0.0,0.07524454477050413
24,Who popularized the idea enshrined in psychedelic culture known as 'set and setting'?," ""Timothy Leary.""", Timothy Leary popularized the idea enshrined in psychedelic culture known as 'set and setting'.,1.0,1.0,0.0
25,Who is Daniel Meling?," ""Daniel Meling is a cognitive scientist and experience researcher at the University of Zurich and University of Freiburg.""", I don't know.,0.0,0.0,0.0
